Barangay,Votes
Turac,1495
Bacnar,1393
Coliling,1286
Tarece,1261
Pagal,1131
Malacañang,1095
Calobaoan,1051
Caoayan Kiling,1044
Agdao,1026
Quintong,995
Balite Sur,939
Bolingit,920
Cobol,920
Tandoc,892
Calomboyan,850
Pangpang,835
San Juan,814
Matagdem,805
Pangalangan,804
Magtaking,775
